20210729,1672
20210728,1896
20210727,1365
20210726,1318
20210725,1486
20210724,1629
20210723,1630
20210722,1838
20210721,1784
20210720,1278
20210719,1252
20210718,1451
20210717,1454
20210716,1535
20210715,1600
20210714,1615
20210713,1150
20210712,1100
20210711,1324
20210710,1378
20210709,1316
20210708,1275
20210707,1212
20210706,746
20210705,711
20210704,742
20210703,794
20210702,826
20210701,761
20210630,794
20210629,595
20210628,501
20210627,614
20210626,668
20210625,634
20210624,610
20210623,645
20210622,394
20210621,357
20210620,429
20210619,482
20210618,507
20210617,540
20210616,545
20210615,373
20210614,399
20210613,452
20210612,565
20210611,554
20210610,611
20210609,602
20210608,453
20210607,485
20210606,556
20210605,744
20210604,695
20210603,681
20210602,677
20210601,459
20210531,430
20210530,479
20210529,533
20210528,587
20210527,637
20210526,699
20210525,516
20210524,530
20210523,585
20210522,666
20210521,561
20210520,646
20210519,653
20210518,528
20210517,619
20210516,610
20210515,681
20210514,747
20210513,715
20210512,636
20210511,510
20210510,463
20210509,564
20210508,701
20210507,525
20210506,574
20210505,676
20210504,541
20210503,488
20210502,606
20210501,627
20210430,661
20210429,680
20210428,768
20210427,512
20210426,499
20210425,644
20210424,785
20210423,797
20210422,735
20210421,731
20210420,549
20210419,532
20210418,671
20210417,658
20210416,673
20210415,698
20210414,731
20210413,542
20210412,587
20210411,614
20210410,677
20210409,671
20210408,700
20210407,668
20210406,477
20210405,474
20210404,542
20210403,543
20210402,557
20210401,551
20210331,506
20210330,447
20210329,382
20210328,482
20210327,505
20210326,489
20210325,430
20210324,428
20210323,346
20210322,415
20210321,456
20210320,447
20210319,463
20210318,445
20210317,469
20210316,363
20210315,379
20210314,459
20210313,490
20210312,488
20210311,465
20210310,470
20210309,446
20210308,346
20210307,416
20210306,418
20210305,398
20210304,424
20210303,444
20210302,344
20210301,355
20210228,355
20210227,415
20210226,387
20210225,395
20210224,440
20210223,356
20210222,332
20210221,415
20210220,449
20210219,561
20210218,621
20210217,621
20210216,457
20210215,343
20210214,326
20210213,362
20210212,403
20210211,504
20210210,444
20210209,303
20210208,288
20210207,371
20210206,390
20210205,370
20210204,451
20210203,467
20210202,336
20210201,305
20210131,354
20210130,456
20210129,469
20210128,497
20210127,559
20210126,349
20210125,437
20210124,392
20210123,431
20210122,346
20210121,400
20210120,404
20210119,386
20210118,389
20210117,520
20210116,580
20210115,512
20210114,524
20210113,561
20210112,537
20210111,451
20210110,657
20210109,641
20210108,674
20210107,869
20210106,838
20210105,714
20210104,1020
20210103,657
20210102,820
20210101,1027
20201231,967
20201230,1050
20201229,1044
20201228,806
20201227,970
20201226,1131
20201225,1240
20201224,985
20201223,1090
20201222,866
20201221,924
20201220,1097
20201219,1045
20201218,1064
20201217,1014
20201216,1078
20201215,880
20201214,718
20201213,1030
20201212,950
20201211,689
20201210,680
20201209,531
20201208,726
20201207,615
20201206,631
20201205,577
20201204,628
20201203,540
20201202,511
20201201,451
20201130,438
20201129,450
20201128,503
20201127,555
20201126,581
20201125,382
20201124,349
20201123,271
20201122,330
20201121,386
20201120,348
20201119,325
20201118,285
20201117,230
20201116,222
20201115,208
20201114,205
20201113,191
20201112,143
20201111,145
20201110,100
20201109,126
20201108,143
20201107,89
20201106,145
20201105,125
20201104,117
20201103,75
20201102,97
20201101,124
20201031,127
20201030,113
20201029,125
20201028,103
20201027,88
20201026,119
20201025,61
20201024,77
20201023,155
20201022,121
20201021,89
20201020,58
20201019,76
20201018,91
20201017,73
20201016,47
20201015,110
20201014,73
20201013,102
20201012,98
20201011,58
20201010,72
20201009,54
20201008,69
20201007,114
20201006,75
20201005,73
20201004,64
20201003,75
20201002,63
20201001,77
20200930,113
20200929,38
20200928,50
20200927,95
20200926,61
20200925,114
20200924,125
20200923,110
20200922,61
20200921,70
20200920,82
20200919,110
20200918,126
20200917,153
20200916,113
20200915,106
20200914,109
20200913,121
20200912,136
20200911,176
20200910,155
20200909,156
20200908,136
20200907,119
20200906,167
20200905,168
20200904,198
20200903,195
20200902,267
20200901,235
20200831,248
20200830,299
20200829,323
20200828,371
20200827,441
20200826,320
20200825,280
20200824,266
20200823,396
20200822,332
20200821,324
20200820,288
20200819,297
20200818,246
20200817,197
20200816,279
20200815,166
20200814,103
20200813,56
20200812,54
20200811,34
20200810,28
20200809,36
20200808,43
20200807,20
20200806,43
20200805,33
20200804,34
20200803,23
20200802,30
20200801,31
20200731,36
20200730,18
20200729,48
20200728,28
20200727,25
20200726,58
20200725,113
20200724,41
20200723,59
20200722,63
20200721,45
20200720,26
20200719,34
20200718,39
20200717,60
20200716,61
20200715,39
20200714,33
20200713,62
20200712,44
20200711,35
20200710,45
20200709,50
20200708,62
20200707,44
20200706,48
20200705,61
20200704,63
20200703,61
20200702,54
20200701,51
20200630,42
20200629,42
20200628,62
20200627,51
20200626,39
20200625,28
20200624,51
20200623,46
20200622,17
20200621,48
20200620,67
20200619,49
20200618,59
20200617,43
20200616,34
20200615,37
20200614,34
20200613,48
20200612,56
20200611,45
20200610,50
20200609,38
20200608,37
20200607,57
20200606,51
20200605,39
20200604,39
20200603,49
20200602,38
20200601,35
20200531,27
20200530,39
20200529,58
20200528,79
20200527,40
20200526,19
20200525,16
20200524,25
20200523,23
20200522,20
20200521,12
20200520,32
20200519,13
20200518,15
20200517,13
20200516,19
20200515,27
20200514,29
20200513,26
20200512,27
20200511,35
20200510,34
20200509,18
20200508,12
20200507,4
20200506,2
20200505,3
20200504,8
20200503,13
20200502,6
20200501,9
20200430,4
20200429,9
20200428,14
20200427,10
20200426,10
20200425,10
20200424,6
20200423,8
20200422,11
